Biznameclick,Biznameclick_link,Reviewcount,Business,Categorylisttext,Secondary 1,Secondary 2,Phonenumber
Kasen,https://www.yelp.com/biz/kasen-fountain-valley,138,$$$,Sushi Bars- - ,9039 Garfield Ave,Fountain Valley,(714) 968-9860
Sabrosada,https://www.yelp.com/biz/sabrosada-westminster-3,442,$,Mexican- Breakfast & Brunch- ,15681 Brookhurst St,Fountain Valley,(714) 775-9550
Pizzami Buscemi,https://www.yelp.com/biz/pizzami-buscemi-costa-mesa-2,11,$,Food Trucks- Pizza- , Fountain Valley,Fountain Valley,(714) 553-7897
Musubiya Balls!? & Burgers,https://www.yelp.com/biz/musubiya-balls-and-burgers-santa-ana,351,$,Japanese- Fast Food- Seafood,3701 S Harbor Blvd,Fountain Valley,(714) 979-4500
Stater Bros. Markets,https://www.yelp.com/biz/stater-bros-markets-fountain-valley-3,47,$$,Grocery- Delis- Butcher,11085 Warner Ave,Fountain Valley,(714) 775-6343
Tacos El Rancho,https://www.yelp.com/biz/tacos-el-rancho-fountain-valley,91,$,Mexican- - ,17945 Magnolia St,Fountain Valley,(714) 841-8797
Souplantation,https://www.yelp.com/biz/souplantation-fountain-valley,261,$$,Buffets- Vegetarian- Salad,11179 Talbert,Fountain Valley,(714) 434-1814
Saffron Grill,https://www.yelp.com/biz/saffron-grill-huntington-beach-2,437,$$,Middle Eastern- Persian/Iranian- Mediterranean,17441 Beach Blvd,Fountain Valley,(714) 843-0655
Pho Dakao,https://www.yelp.com/biz/pho-dakao-garden-grove,204,$,Vietnamese- Noodles- Soup,15532 Ward St,Fountain Valley,(714) 531-2009
Ameci Pizza & Pasta - Fountain Valley,https://www.yelp.com/biz/ameci-pizza-and-pasta-fountain-valley-fountain-valley,89,$,Pizza- Italian- Chicken Wings,17910 Magnolia St,Fountain Valley,(714) 963-5790
Jersey Mike's Subs,https://www.yelp.com/biz/jersey-mikes-subs-fountain-valley-2,92,$$,Sandwiches- Fast Food- Delis,18120 Brookhurst St,Fountain Valley,(714) 965-9888
San Salvador Restaurant,https://www.yelp.com/biz/san-salvador-restaurant-fountain-valley,103,$,Salvadoran- - ,16540 Harbor Blvd,Fountain Valley,(714) 418-9610
H.B. Pita Grill,https://www.yelp.com/biz/h-b-pita-grill-huntington-beach,480,$,Mediterranean- Arabian- Greek,19893 Brookhurst St,Fountain Valley,(714) 964-7482
Holé Molé,https://www.yelp.com/biz/hol%C3%A9-mol%C3%A9-huntington-beach-2,303,$,Mexican- Comfort Food- ,17491 Beach Blvd,Fountain Valley,(714) 841-3474
Maui Hawaiian BBQ,https://www.yelp.com/biz/maui-hawaiian-bbq-fountain-valley,166,$,Barbeque- Hawaiian- ,17850 Newhope St,Fountain Valley,(714) 557-5018
Tio Flaco's Tacos,https://www.yelp.com/biz/tio-flacos-tacos-fountain-valley,307,$,Mexican- - ,18959 Magnolia St,Fountain Valley,(714) 593-9000
Taco Rigoberto's Bros,https://www.yelp.com/biz/taco-rigobertos-bros-santa-ana,176,$,Food Trucks- Tacos- ,201 S Mountain View St,Fountain Valley,(714) 401-4871
Bangkok Avenue,https://www.yelp.com/biz/bangkok-avenue-huntington-beach,392,$$,Thai- - ,17221 Beach Blvd,Fountain Valley,(714) 841-9567
Quang Trung Restaurant,https://www.yelp.com/biz/quang-trung-restaurant-huntington-beach,122,$,Vietnamese- - ,16931 Magnolia St,Fountain Valley,(714) 594-6460
Mongolian Grill CY,https://www.yelp.com/biz/mongolian-grill-cy-westminster-3,212,$,Asian Fusion- Mongolian- Chinese,16412 Beach Blvd,Fountain Valley,(714) 969-0380
La Petite Sourie,https://www.yelp.com/biz/la-petite-sourie-santa-ana-3,446,$,Desserts- French- Sandwiches,2801 MacArthur Blvd,Fountain Valley,(714) 966-9969
The Iron Press,https://www.yelp.com/biz/the-iron-press-costa-mesa,939,$$,Gastropubs- American (New)- ,3321 Hyland Ave,Fountain Valley,(714) 426-8088
5ifty Forks,https://www.yelp.com/biz/5ifty-forks-santa-ana,133,$$,American (New)- - ,3601 W Sunflower Ave,Fountain Valley,(714) 338-1325
Hot N Juicy Crawfish,https://www.yelp.com/biz/hot-n-juicy-crawfish-fountain-valley,353,$$,Cajun/Creole- Seafood- ,15972 Euclid St,Fountain Valley,(714) 775-4465
The Middle Eats,https://www.yelp.com/biz/the-middle-eats-irvine-2,23,$,Food Trucks- Middle Eastern- , na,Fountain Valley,(949) 500-0816
Thai Pepper,https://www.yelp.com/biz/thai-pepper-huntington-beach,475,$,Thai- - ,18023 Beach Blvd,Fountain Valley,(714) 843-9818
Orange Grill,https://www.yelp.com/biz/orange-grill-santa-ana,39,$,Japanese- Asian Fusion- ,3301 S Harbor Blvd,Fountain Valley,(714) 540-6035
Silk Noodle Bar,https://www.yelp.com/biz/silk-noodle-bar-huntington-beach,354,$$,Vietnamese- Asian Fusion- Noodles,16334 Beach Blvd,Fountain Valley,(714) 848-1200
Renato's,https://www.yelp.com/biz/renatos-westminster,318,$$,Pizza- Italian- ,15383 Brookhurst St,Fountain Valley,(714) 839-5755
Super Mex,https://www.yelp.com/biz/super-mex-fountain-valley-3,139,$,Mexican- - ,18279 Brookhurst St,Fountain Valley,(714) 962-9881
Wei's Chinese Restaurant,https://www.yelp.com/biz/weis-chinese-restaurant-fountain-valley,64,$$,Chinese- - ,17046 Magnolia St,Fountain Valley,(714) 842-5078
Double Delicious Thai Cuisine,https://www.yelp.com/biz/double-delicious-thai-cuisine-fountain-valley,179,$,Thai- Bars- ,16076 S Harbor Blvd,Fountain Valley,(714) 277-3639
Omoi Sushi,https://www.yelp.com/biz/omoi-sushi-fountain-valley,53,$$,Sushi Bars- Japanese- ,16353 Harbor Blvd,Fountain Valley,(714) 839-8689
Claim Jumper,https://www.yelp.com/biz/claim-jumper-fountain-valley,305,$$,Seafood- Steakhouses- American (Traditional),18050 Brookhurst St,Fountain Valley,(714) 963-6711
MoMa Coffee,https://www.yelp.com/biz/moma-coffee-and-cafe-huntington-beach-7,72,$,Coffee & Tea- Breakfast & Brunch- Bakeries,10178 Adams Ave,Fountain Valley,(714) 378-0006
Lo Banh Cuon Tan Hoang Huong,https://www.yelp.com/biz/lo-banh-cuon-tan-hoang-huong-santa-ana,63,$,Vietnamese- - ,5015 W Edinger Ave,Fountain Valley,(714) 531-2488
Lakeside Cafe,https://www.yelp.com/biz/lakeside-cafe-santa-ana,36,$,Sandwiches- - ,3700 S Susan St,Fountain Valley,(714) 957-2744
Egg Roll King,https://www.yelp.com/biz/egg-roll-king-huntington-beach-3,276,$,Chinese- Seafood- Soup,10078 Adams Ave,Fountain Valley,(714) 378-8612
Surf City Fish Grill,https://www.yelp.com/biz/surf-city-fish-grill-huntington-beach,121,$$,Seafood- Gluten-Free- Fish & Chips,17965 Beach Blvd,Fountain Valley,(714) 375-4861
Frostbites Crepes and Frozen Delights,https://www.yelp.com/biz/frostbites-crepes-and-frozen-delights-costa-mesa,452,$,Ice Cream & Frozen Yogurt- Creperies- ,2801 Harbor Blvd,Fountain Valley,(714) 444-2988
Greenleaf Gourmet Chopshop,https://www.yelp.com/biz/greenleaf-gourmet-chopshop-costa-mesa-2,377,$$,American (New)- Salad- Breakfast & Brunch,3321 Hyland Ave,Fountain Valley,(714) 862-2480
Carlitos Diner,https://www.yelp.com/biz/carlitoss-diner-huntington-beach-2,287,$,Diners- Mexican- Breakfast & Brunch,7451 Warner Ave,Fountain Valley,(714) 841-9966
In-N-Out Burger,https://www.yelp.com/biz/in-n-out-burger-costa-mesa-2,237,$,Burgers- Fast Food- ,3211 Harbor Blvd,Fountain Valley,(800) 786-1000
Matsu Restaurant,https://www.yelp.com/biz/matsu-restaurant-huntington-beach,913,$$,Japanese- Sushi Bars- ,18035 Beach Blvd,Fountain Valley,(714) 848-4404
Pho Jazmine Authentic Vietnamese Cuisine,https://www.yelp.com/biz/pho-jazmine-authentic-vietnamese-cuisine-fountain-valley,79,$,Vietnamese- Coffee & Tea- Noodles,16086 Harbor Blvd,Fountain Valley,(714) 760-4572
Lau Xanh Grill,https://www.yelp.com/biz/lau-xanh-grill-westminster-3,40,$$,Vietnamese- Seafood- Hot Pot,15041 Moran St,Fountain Valley,(714) 899-3333
WaBa Grill,https://www.yelp.com/biz/waba-grill-santa-ana,67,$,Fast Food- Asian Fusion- ,2720 S Harbor Blvd.,Fountain Valley,(714) 979-2284
Rubio's Coastal Grill,https://www.yelp.com/biz/rubios-coastal-grill-fountain-valley,78,$,Mexican- Seafood- ,18517 Brookhurst St,Fountain Valley,(714) 378-5232
Jimmy John's,https://www.yelp.com/biz/jimmy-johns-fountain-valley-2,68,$,Sandwiches- - ,18011 Newhope St,Fountain Valley,(714) 432-6700
Subculture Extraordinary Sandwiches,https://www.yelp.com/biz/subculture-extraordinary-sandwiches-huntington-beach,926,$,Sandwiches- - ,7862 Warner Ave,Fountain Valley,(714) 847-1113
Tommy Pastrami New York Delicatessen,https://www.yelp.com/biz/tommy-pastrami-new-york-delicatessen-santa-ana-2,223,$$,Delis- Sandwiches- ,3751 S Harbor Blvd,Fountain Valley,(714) 540-2700
Sushi Murasaki,https://www.yelp.com/biz/sushi-murasaki-santa-ana,466,$$$,Sushi Bars- Japanese- ,2901 W MacArthur Blvd,Fountain Valley,(714) 241-1000
IKEDA,https://www.yelp.com/biz/ikeda-huntington-beach,334,$$,Japanese- - ,18900 Beach Blvd,Fountain Valley,(714) 861-2125
Mona Lisa Cucina,https://www.yelp.com/biz/mona-lisa-cucina-huntington-beach-2,429,$$,Italian- Seafood- ,9017 E Adams Ave,Fountain Valley,(714) 965-9900
Pho 54,https://www.yelp.com/biz/pho-54-westminster-2,592,$,Vietnamese- Noodles- ,15420 Brookhurst St,Fountain Valley,(714) 839-9096
Rollrritto + Poke Bar,https://www.yelp.com/biz/rollrritto-poke-bar-huntington-beach,115,$,Sushi Bars- Asian Fusion- Poke,18581 Beach Blvd,Fountain Valley,(657) 845-4911
Tacos Jerez,https://www.yelp.com/biz/tacos-jerez-huntington-beach,136,$,Mexican- - ,17681 Beach Blvd,Fountain Valley,(714) 842-3240
Da Hawaiian Kitchen,https://www.yelp.com/biz/da-hawaiian-kitchen-huntington-beach,517,$,Hawaiian- - ,9842 Adams Ave,Fountain Valley,(714) 968-8900
El Taquero,https://www.yelp.com/biz/el-taquero-santa-ana-3,7,$,Food Trucks- Mexican- , na,Fountain Valley,(714) 795-4066
Shimura Restaurant,https://www.yelp.com/biz/shimura-restaurant-fountain-valley,111,$$,Sushi Bars- - ,18906 Brookhurst St,Fountain Valley,(714) 964-8840
Kapamilya Restaurant,https://www.yelp.com/biz/kapamilya-restaurant-fountain-valley-2,74,$,Filipino- - ,10964 Warner Ave,Fountain Valley,(714) 593-6212
Five Flavors Restaurant,https://www.yelp.com/biz/five-flavors-restaurant-garden-grove,21,$,Vietnamese- - ,10572 Mcfadden Ave,Fountain Valley,(714) 839-7920
Photastic! Soup and Sandwiches,https://www.yelp.com/biz/photastic-soup-and-sandwiches-huntington-beach,302,$,Vietnamese- Fast Food- Bakeries,19201 Brookhurst St,Fountain Valley,(714) 964-8373
Chick-fil-A,https://www.yelp.com/biz/chick-fil-a-westminster-5,204,$,Fast Food- - ,16388 Beach Blvd,Fountain Valley,(714) 847-3847
Binh Dan Restaurant,https://www.yelp.com/biz/binh-dan-restaurant-westminster,50,$$,Vietnamese- - ,10040 McFadden Ave,Fountain Valley,(714) 839-7050
Com Tam Tran Quy Cap,https://www.yelp.com/biz/com-tam-tran-quy-cap-fountain-valley,288,$,Vietnamese- Asian Fusion- ,16175 Harbor Blvd,Fountain Valley,(714) 418-1333
Moscow Deli,https://www.yelp.com/biz/moscow-deli-costa-mesa,210,$,Delis- Convenience Stores- Russian,3015 Harbor Blvd,Fountain Valley,(714) 546-3354
Gyu-Kaku Japanese BBQ,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-huntington-beach,1524,$$,Japanese- Barbeque- ,7862 Warner Ave,Fountain Valley,(714) 842-8333
Cafe 201,https://www.yelp.com/biz/cafe-201-santa-ana,20,$,Delis- Cafes- Sandwiches,3130 S Harbor Blvd,Fountain Valley,(714) 432-1201
Bo De At Phuoc Loc Tho,https://www.yelp.com/biz/bo-de-at-phuoc-loc-tho-westminster,163,$,Vegetarian- Vietnamese- ,15131 Moran St,Fountain Valley,(714) 891-5809
Wienerschnitzel,https://www.yelp.com/biz/wienerschnitzel-huntington-beach-4,15,$,Hot Dogs- Fast Food- Sandwiches,19101 Brookhurst,Fountain Valley,(714) 962-9431
Sagami-Tei,https://www.yelp.com/biz/sagami-tei-westminster,431,$$,Japanese- Sushi Bars- Buffets,16511 Magnolia St,Fountain Valley,(714) 842-7677
Sabrosada,https://www.yelp.com/biz/sabrosada-fountain-valley-3,96,$,Tacos- Tapas/Small Plates- ,17225 Brookhurst St,Fountain Valley,(714) 593-0069
Thanh Mai Vietnamese Cuisine,https://www.yelp.com/biz/thanh-mai-vietnamese-cuisine-westminster,124,$,Vietnamese- - ,9142 Bolsa Ave,Fountain Valley,(714) 893-2288
Gesshin Restaurant,https://www.yelp.com/biz/gesshin-restaurant-westminster,282,$$,Japanese- - ,16492 Beach Blvd,Fountain Valley,(714) 842-5581
Genghis Khan Mongolian BBQ,https://www.yelp.com/biz/genghis-khan-mongolian-bbq-fountain-valley,214,$$,Chinese- Barbeque- Mongolian,18900 Brookhurst St,Fountain Valley,(714) 968-4027
Wahoo's Fish Tacos,https://www.yelp.com/biz/wahoos-fish-tacos-huntington-beach-2,176,$,Mexican- Seafood- Comfort Food,7891 Warner Ave,Fountain Valley,(714) 847-0555
Cafe949,https://www.yelp.com/biz/cafe949-fountain-valley,7,,Seafood- Cafes- Asian Fusion,11101 Condor Ave,Fountain Valley,(888) 688-3277
Pho 86 Restaurant,https://www.yelp.com/biz/pho-86-restaurant-garden-grove,91,$,Vietnamese- Noodles- ,10528 McFadden Ave,Fountain Valley,(714) 531-0512
Flame Broiler,https://www.yelp.com/biz/flame-broiler-fountain-valley,64,$,American (Traditional)- - ,18060 Newhope St,Fountain Valley,(714) 444-4008
Hashigo Sushi,https://www.yelp.com/biz/hashigo-sushi-huntington-beach,433,$$,Japanese- Sushi Bars- ,18685 Main St,Fountain Valley,(714) 848-1111
Pho K-Tea,https://www.yelp.com/biz/pho-k-tea-fountain-valley,11,$,Asian Fusion- - ,18041 Magnolia St,Fountain Valley,(714) 968-2199
Rance's Chicago Pizza,https://www.yelp.com/biz/rances-chicago-pizza-costa-mesa,883,$$,Pizza- - ,1420 Baker St,Fountain Valley,(714) 708-2143
Hot Pot City,https://www.yelp.com/biz/hot-pot-city-westminster,293,$$,Vietnamese- Barbeque,1420 Baker St,Costa Mesa,(714) 708-2143
Frostbites Crepes and Frozen Delights,https://www.yelp.com/biz/frostbites-crepes-and-frozen-delights-costa-mesa,444,$,Ice Cream & Frozen Yogurt-  Creperies,2801 Harbor Blvd,Costa Mesa,(714) 444-2988
Rincon Argentino,https://www.yelp.com/biz/rincon-argentino-costa-mesa-3,96,$,Argentine-  Pizza-  Sandwiches,2346 Newport Blvd,Costa Mesa,(949) 642-3299
Al Forno Caffe,https://www.yelp.com/biz/al-forno-caffe-costa-mesa-3,367,$$,Italian,1525 Mesa Verde E,Costa Mesa,(657) 232-0100
Wok-In,https://www.yelp.com/biz/wok-in-costa-mesa,132,$,Chinese-  Vietnamese,2394 Newport Blvd,Costa Mesa,(949) 287-6785
Turnip Rose Cafe,https://www.yelp.com/biz/turnip-rose-cafe-costa-mesa,170,$$,American (New)-  Cafes-  Breakfast & Brunch,2701 Harbor Blvd,Costa Mesa,(714) 881-0379
Filomena’s Italian Kitchen,https://www.yelp.com/biz/filomenas-italian-kitchen-costa-mesa-3,303,$$,Italian-  Pizza-  Wine Bars,2400 Newport Blvd,Costa Mesa,(949) 642-3810
Kitakata Ramen Ban Nai,https://www.yelp.com/biz/kitakata-ramen-ban-nai-costa-mesa-2,1192,$$,Ramen-  Noodles-  Soup,891 Baker St,Costa Mesa,(714) 557-2947
Hong Kong Express,https://www.yelp.com/biz/hong-kong-express-costa-mesa-2,157,$,Chinese-  Fast Food,2200 Harbor Blvd,Costa Mesa,(949) 642-6963
ETCetera Sushi & Izakaya,https://www.yelp.com/biz/etcetera-sushi-and-izakaya-costa-mesa,477,$$,Japanese-  Sushi Bars-  Tapas Bars,355 Bristol St,Costa Mesa,(657) 231-6222
Firehouse Subs,https://www.yelp.com/biz/firehouse-subs-costa-mesa,204,$,Sandwiches-  Delis-  Fast Food,2701 Harbor Blvd,Costa Mesa,(714) 432-1777
Amorelia Mexican Cafe,https://www.yelp.com/biz/amorelia-mexican-cafe-costa-mesa,557,$$,Mexican-  Breakfast & Brunch-  Wine Bars,2200 Harbor Blvd,Costa Mesa,(949) 646-1422
Meiji Seimen,https://www.yelp.com/biz/meiji-seimen-costa-mesa-2,235,$$,Japanese-  Noodles-  Soup,1113 Baker St,Costa Mesa,(714) 545-5175
Seabirds Kitchen,https://www.yelp.com/biz/seabirds-kitchen-costa-mesa,813,$$,Vegan-  Vegetarian-  Gluten-Free,2930 Bristol St,Costa Mesa,(714) 549-2584
Darbari Persian Grill,https://www.yelp.com/biz/darbari-persian-grill-costa-mesa-3,324,$$,Persian/Iranian-  Mediterranean,1866 Newport Blvd,Costa Mesa,(949) 650-8080
Rance’s Chicago Pizza,https://www.yelp.com/biz/rances-chicago-pizza-costa-mesa,878,$$,Pizza,1420 Baker St,Costa Mesa,(714) 708-2143
Papa Murphy’s,https://www.yelp.com/biz/papa-murphys-costa-mesa,57,$$,Pizza,2300 Harbor Blvd,Costa Mesa,(949) 646-2253
Nick’s Pizza Ristorante Italiano,https://www.yelp.com/biz/nicks-pizza-ristorante-italiano-costa-mesa,438,$$,Italian-  Pizza,2300 Harbor Blvd,Costa Mesa,(949) 722-7566
Sushi Sho Japanese Restaurant,https://www.yelp.com/biz/sushi-sho-japanese-restaurant-costa-mesa,264,$$,Japanese-  Sushi Bars,2263 Fairview Rd,Costa Mesa,(949) 645-5502
Sushi Town,https://www.yelp.com/biz/sushi-town-costa-mesa,531,$$,Japanese-  Sushi Bars,2346 Newport Blvd,Costa Mesa,(949) 515-5183
Barley Forge Brewing,https://www.yelp.com/biz/barley-forge-brewing-costa-mesa,403,$$,Breweries-  Gastropubs,2957 Randolph Ave,Costa Mesa,(714) 641-2084
La Cañada Grill,https://www.yelp.com/biz/la-ca%C3%B1ada-grill-costa-mesa,99,$,Mexican,841 W 19th St,Costa Mesa,(949) 722-8330
Sushi Island,https://www.yelp.com/biz/sushi-island-costa-mesa,163,$$,Sushi Bars-  Japanese,2574 Newport Blvd,Costa Mesa,(949) 631-8382
The India Cafe,https://www.yelp.com/biz/the-india-cafe-costa-mesa,100,$$,Indian-  Salad-  Seafood,528 W 19th St,Costa Mesa,(949) 200-9365
Blackmarket Bakery,https://www.yelp.com/biz/blackmarket-bakery-costa-mesa-3,727,$,Breakfast & Brunch-  Bakeries-  Sandwiches,2937 Bristol St,Costa Mesa,(714) 662-3095
Ciao! Deli & Pizzeria,https://www.yelp.com/biz/ciao-deli-and-pizzeria-costa-mesa,547,$$,Pizza-  Italian-  Delis,891 W Baker St,Costa Mesa,(714) 979-8669
Pom & Olive,https://www.yelp.com/biz/pom-and-olive-costa-mesa,455,$$,Mediterranean-  Salad-  American (New),1400 Bristol St,Costa Mesa,(714) 754-1974
Frank’s Philadelphia,https://www.yelp.com/biz/franks-philadelphia-costa-mesa,299,$,Sandwiches-  Cheesesteaks,2244 Fairview Rd,Costa Mesa,(949) 722-8725
Doria’s Haus of Pizza,https://www.yelp.com/biz/dorias-haus-of-pizza-costa-mesa,617,$,Pizza-  Italian-  Sandwiches,1500 Adams Ave,Costa Mesa,(714) 751-8777
Moscow Deli,https://www.yelp.com/biz/moscow-deli-costa-mesa,210,$,Delis-  Convenience Stores-  Russian,3015 Harbor Blvd,Costa Mesa,(714) 546-3354
Vitaly Caffé,https://www.yelp.com/biz/vitaly-caff%C3%A9-costa-mesa,806,$$,Italian-  Coffee & Tea-  Desserts,2937 Bristol St,Costa Mesa,(714) 662-5500
Anjin,https://www.yelp.com/biz/anjin-costa-mesa,1291,$$,Japanese,3033 Bristol St,Costa Mesa,(714) 979-6700
Lil’ Pickle USA,https://www.yelp.com/biz/lil-pickle-usa-costa-mesa,310,$,Sandwiches,2985 Fairview Rd,Costa Mesa,(714) 979-5522
Tacos Cancun,https://www.yelp.com/biz/tacos-cancun-costa-mesa,315,$,Mexican-  Vegan-  Vegetarian,1902 Harbor Blvd,Costa Mesa,(949) 642-3720
Uroko Cafe,https://www.yelp.com/biz/uroko-cafe-costa-mesa-7,55,$$,Poke-  Seafood-  Japanese,103 E 17th St,Costa Mesa,(949) 873-5808
Sushi Imari,https://www.yelp.com/biz/sushi-imari-costa-mesa,1088,$$,Sushi Bars-  Japanese,375 Bristol St,Costa Mesa,(714) 641-5654
Vietnam’s Pearl,https://www.yelp.com/biz/vietnams-pearl-costa-mesa,619,$,Vietnamese,1215 Baker St,Costa Mesa,(714) 540-2212
El Toro Bravo Tortilleria,https://www.yelp.com/biz/el-toro-bravo-tortilleria-costa-mesa,791,$,Mexican,745 W 19th St,Costa Mesa,(949) 631-4464
Tandoori Fresh,https://www.yelp.com/biz/tandoori-fresh-costa-mesa,538,$$,Indian-  Pakistani-  Halal,1500 Adams Ave,Costa Mesa,(714) 444-4407
Honda Ya Box,https://www.yelp.com/biz/honda-ya-box-costa-mesa,306,$,Japanese-  Salad-  Soup,2969 Fairview Rd,Costa Mesa,(714) 557-2688
Native Foods Cafe - Costa Mesa,https://www.yelp.com/biz/native-foods-cafe-costa-mesa-costa-mesa,1354,$$,Vegetarian-  Vegan-  American (New),2937 Bristol St,Costa Mesa,(714) 751-2151
Manpuku Tokyo BBQ Dining,https://www.yelp.com/biz/manpuku-tokyo-bbq-dining-costa-mesa,488,$$,Barbeque-  Japanese,891 Baker St,Costa Mesa,(714) 708-3290
Veez On the Beach,https://www.yelp.com/biz/veez-on-the-beach-costa-mesa-2,20,na,Caterers-  Barbeque,Costa Mesa  CA 92626,Costa Mesa,(858) 610-3223
Empanada’s Place,https://www.yelp.com/biz/empanadas-place-costa-mesa,526,$,Argentine-  Empanadas-  Mexican,3011 Harbor Blvd,Costa Mesa,(714) 825-0100
Hokkaido Ramen Santouka,https://www.yelp.com/biz/hokkaido-ramen-santouka-costa-mesa,1988,$,Ramen-  Noodles,665 Paularino Ave,Costa Mesa,(714) 434-1101
Cal Shabu,https://www.yelp.com/biz/cal-shabu-costa-mesa,1141,$$,Japanese-  Hot Pot,801 Baker St,Costa Mesa,(714) 540-1888
Eat Chow,https://www.yelp.com/biz/eat-chow-costa-mesa,1749,$$,American (New)-  Breakfast & Brunch,1802 Newport Blvd,Costa Mesa,(949) 650-2469
Hanare Sushi,https://www.yelp.com/biz/hanare-sushi-costa-mesa,57,$$$$,Japanese-  Sushi Bars,2930 Bristol St,Costa Mesa,(714) 545-2800
Pupuseria San Sivar,https://www.yelp.com/biz/pupuseria-san-sivar-costa-mesa,243,$,Salvadoran,1940 Harbor Blvd,Costa Mesa,(949) 650-2952
El Chinaco,https://www.yelp.com/biz/el-chinaco-costa-mesa,215,$,Mexican-  Salvadoran-  Breakfast & Brunch,560 W 19th St,Costa Mesa,(949) 722-8632
Mother’s Market and Kitchen,https://www.yelp.com/biz/mothers-market-and-kitchen-costa-mesa-2,436,$$,Vegetarian-  Grocery-  Juice Bars & Smoothies,1890 Newport Blvd,Costa Mesa,(949) 631-4741
Gyutan Tsukasa USA,https://www.yelp.com/biz/gyutan-tsukasa-usa-costa-mesa,241,$$,Japanese,665 Paularino Ave,Costa Mesa,(714) 434-1023
EON Sushi,https://www.yelp.com/biz/eon-sushi-costa-mesa,276,$$,Seafood-  Sushi Bars-  Japanese,2340 Harbor Blvd,Costa Mesa,(714) 557-9700
The Habit Burger Grill,https://www.yelp.com/biz/the-habit-burger-grill-costa-mesa,257,$,Burgers,1510 Adams Ave,Costa Mesa,(714) 241-1873
Taco Mesa,https://www.yelp.com/biz/taco-mesa-costa-mesa,1067,$,Mexican,647 W 19th St,Costa Mesa,(949) 642-0629
Baja Fish Tacos,https://www.yelp.com/biz/baja-fish-tacos-costa-mesa,405,$,Seafood-  Mexican,171 E 17th St,Costa Mesa,(949) 548-8487
Pizza D’Oro,https://www.yelp.com/biz/pizza-d-oro-costa-mesa,364,$,Pizza-  Italian,1145 Baker St,Costa Mesa,(714) 549-0685
Uroko Cafe,https://www.yelp.com/biz/uroko-cafe-costa-mesa,702,$,Japanese-  Salad-  Poke,3030 Bristol St,Costa Mesa,(714) 436-5798
Pueblo,https://www.yelp.com/biz/pueblo-costa-mesa-2,809,$$,Tapas/Small Plates-  Spanish-  Bars,3321 Hyland Ave,Costa Mesa,(714) 340-5775
Royal Tea & Treatery,https://www.yelp.com/biz/royal-tea-and-treatery-costa-mesa,103,$$,Bakeries-  Gluten-Free-  Tea Rooms,2950 Grace Ln,Costa Mesa,(714) 540-9500
East Borough,https://www.yelp.com/biz/east-borough-costa-mesa,690,$,Vietnamese-  Salad-  Noodles,2937 Bristol St,Costa Mesa,(714) 641-5010
Wafu of Japan,https://www.yelp.com/biz/wafu-of-japan-costa-mesa,340,$$,Japanese-  Sushi Bars,320 Bristol St,Costa Mesa,(714) 641-7321
Tabu Shabu,https://www.yelp.com/biz/tabu-shabu-costa-mesa,803,$$,Japanese-  Hot Pot,333 E 17th St,Costa Mesa,(949) 642-2660
Old Vine Cafe,https://www.yelp.com/biz/old-vine-cafe-costa-mesa-3,1780,$$,American (New)-  Breakfast & Brunch,2937 Bristol St,Costa Mesa,(714) 545-1411
Marrakesh Costa Mesa,https://www.yelp.com/biz/marrakesh-costa-mesa-costa-mesa,419,$$$,Moroccan,1976 Newport Blvd,Costa Mesa,(949) 645-8384
Roman’s Mexican Restaurant & Taqueria,https://www.yelp.com/biz/romans-mexican-restaurant-and-taqueria-costa-mesa,115,$,Mexican,2400 Newport Blvd,Costa Mesa,(949) 548-5534
Subway,https://www.yelp.com/biz/subway-costa-mesa-23,62,$,Sandwiches-  Fast Food,2263 Fairview Rd,Costa Mesa,(949) 650-7599
The Pizza Press,https://www.yelp.com/biz/the-pizza-press-costa-mesa-2,120,$,Desserts-  Pizza,901 S Coast Dr,Costa Mesa,(657) 266-0027
Shunka,https://www.yelp.com/biz/shunka-costa-mesa,476,$$$,Sushi Bars,369 E 17th St,Costa Mesa,(949) 631-9854
Tenkatori Karaage,https://www.yelp.com/biz/tenkatori-karaage-costa-mesa-2,102,$,Japanese,3001 Bristol St,Costa Mesa,(714) 641-7004
Super Antojitos,https://www.yelp.com/biz/super-antojitos-costa-mesa,239,$,Mexican,2949 Fairview Rd,Costa Mesa,(714) 437-1824
Sushi Shibucho,https://www.yelp.com/biz/sushi-shibucho-costa-mesa,250,$$$,Sushi Bars-  Japanese,590 W 19th St,Costa Mesa,(949) 642-2677
El Campeon Carniceria,https://www.yelp.com/biz/el-campeon-carniceria-costa-mesa,52,$,Grocery-  Mexican,517 W Wilson St,Costa Mesa,(949) 548-3978
Avila’s El Ranchito Mexican Restaurant,https://www.yelp.com/biz/avilas-el-ranchito-mexican-restaurant-costa-mesa,348,$$,Mexican,2101 Placentia Ave,Costa Mesa,(949) 642-1142
From Philly,https://www.yelp.com/biz/from-philly-costa-mesa-2,82,$$,Cheesesteaks-  Sandwiches-  Ice Cream & Frozen Yogurt,612 Baker St,Costa Mesa,(714) 754-1655
Newport Rib Company,https://www.yelp.com/biz/newport-rib-company-costa-mesa,490,$$,Barbeque-  Steakhouses,2196 Harbor Blvd,Costa Mesa,(949) 631-2110
